UNA Brand,Region,ASIN,Competitor Brand,UNA ASIN,has_competitor
Yangqihome,US,B099DQZ1MP,,,0
Yangqihome,US,B09B78CZY7,,,0
Yangqihome,US,B09H2R447V,,,0
Yangqihome,US,B09H2RFCXY,,,0
Yangqihome,US,B09LQQ19TT,,,0
Yangqihome,US,B09MY68412,,,0
Yangqihome,US,B09NKTRMR9,,,0
Yangqihome,US,B09SHK9Y71,,,0
Yangqihome,US,B09SHKPQ2C,,,0
Yangqihome,US,B09SHML2LM,,,0
Yangqihome,US,B09SHN5JWD,,,0
Yangqihome,US,B09Y8V9VZY,,,0
Yangqihome,US,B09Y8VL4N1,,,0
Yangqihome,US,B09YD1MYTQ,,,0
Yangqihome,US,B09YD2B9TV,,,0
Yangqihome,US,B09YR2CFCD,,,0
Yangqihome,US,B09YR2T45R,,,0
Yangqihome,US,B09ZYB2HHC,,,0
Yangqihome,US,B09ZYBKBLJ,,,0
Yangqihome,US,B0B1DNG2TD,,,0
Yangqihome,US,B0B1PCQXD6,,,0
Yangqihome,US,B0B1PPD1C7,,,0
Yangqihome,US,B0B2JFK2JR,,,0
Yangqihome,US,B0B2JK173J,,,0
Yangqihome,US,B0B4VBK24N,,,0
Yangqihome,US,B0B4VDMZH8,,,0
Yangqihome,US,B0B4VDR9PT,,,0
Yangqihome,US,B0B4VF3PHS,,,0
Yangqihome,US,B0B6C1MGS9,,,0
Yangqihome,US,B0B6C3J9HW,,,0
Yangqihome,US,B0BG4SXS2V,,,0
Zoo Snoods,US,B01L82MV3W,,,0
Zoo Snoods,US,B01L82MVX2,,,0
Zoo Snoods,US,B01L82MW3Q,,,0
Zoo Snoods,US,B01L82MX30,,,0
Zoo Snoods,CA,B01L82MYT8,,,0
Zoo Snoods,MX,B01L82MYT8,,,0
Zoo Snoods,US,B01L82MYT8,,,0
Zoo Snoods,CA,B01L82MZ1K,,,0
Zoo Snoods,US,B01L82MZ1K,,,0
Zoo Snoods,CA,B01L82MZNS,,,0
Zoo Snoods,US,B01L82MZNS,,,0
Zoo Snoods,CA,B01L82N00K,,,0
Zoo Snoods,US,B01L82N00K,,,0
Zoo Snoods,CA,B01L82N0WI,,,0
Zoo Snoods,US,B01L82N0WI,,,0
Zoo Snoods,CA,B01L82N11S,,,0
Zoo Snoods,US,B01L82N11S,,,0
Zoo Snoods,US,B01L82N2M6,,,0
Zoo Snoods,US,B01L82N30M,,,0
Zoo Snoods,US,B01L82N3RA,,,0
Zoo Snoods,US,B01L82N442,,,0
Zoo Snoods,US,B01L82N4RE,,,0
Zoo Snoods,US,B01L82N4WO,,,0
Zoo Snoods,US,B01L82N6FY,,,0
Zoo Snoods,CA,B01L82N6SG,,,0
Zoo Snoods,US,B01L82N6SG,,,0
Zoo Snoods,US,B01L82N7JO,,,0
Zoo Snoods,CA,B01L82N7SU,,,0
Zoo Snoods,US,B01L82N7SU,,,0
Zoo Snoods,US,B01L82N8IE,,,0
Zoo Snoods,CA,B01L82N92E,,,0
Zoo Snoods,US,B01L82N92E,,,0
Zoo Snoods,US,B01L82NA8W,,,0
Zoo Snoods,US,B01L82NAY6,,,0
Zoo Snoods,US,B01L82NB4K,,,0
Zoo Snoods,US,B01L82NC7G,,,0
Zoo Snoods,US,B01L82NCA8,,,0
Zoo Snoods,US,B01L82NDAC,,,0
Zoo Snoods,US,B01L82NDZ2,,,0
Zoo Snoods,US,B01L82NF28,,,0
Zoo Snoods,US,B01L82NF3M,,,0
Zoo Snoods,US,B01L82NG7C,,,0
Zoo Snoods,US,B01L82NG8G,,,0
Zoo Snoods,US,B01L82NHIA,,,0
Zoo Snoods,US,B01L82NICA,,,0
Zoo Snoods,US,B01L82NJHE,,,0
Zoo Snoods,CA,B01L82NKGY,,,0
Zoo Snoods,MX,B01L82NKGY,,,0
Zoo Snoods,US,B01L82NKGY,,,0
Zoo Snoods,CA,B01L82NLN6,,,0
Zoo Snoods,MX,B01L82NLN6,,,0
Zoo Snoods,US,B01L82NLN6,,,0
Zoo Snoods,US,B074QVXKSY,,,0
Zoo Snoods,US,B074QW2M3J,,,0
Zoo Snoods,US,B074QX34TL,,,0
Zoo Snoods,US,B07L43BQWK,,,0
Zoo Snoods,US,B07L44C289,,,0
Zoo Snoods,US,B07L44RMKB,,,0
Zoo Snoods,US,B07L45JSG4,,,0
Zoo Snoods,US,B07L45KMB4,,,0
Zoo Snoods,US,B07L46RYF8,,,0
Zoo Snoods,CA,B089T79FK8,,,0
Zoo Snoods,US,B089T79FK8,,,0
Zoo Snoods,CA,B089T7RX7L,,,0
Zoo Snoods,US,B089T7RX7L,,,0
Zoo Snoods,CA,B089T7Y7QB,,,0
Zoo Snoods,US,B089T7Y7QB,,,0
